country_code,Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic private health expenditure (% of current health expenditure),Ease of doing business score (0 = lowest performance to 100 = best performance),"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP per capita (current US$),GDP per capita growth (annual %),Gini index,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Rural population (% of total population),Strength of legal rights index (0=weak to 12=strong),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
ROU,100.0,5.4,3.83197350786661,5.683154743333333,4.546145596666666,20.010676066666665,73.05977333333333,69.1821594238281,52.881333669026695,12732.558067115335,4.85576228229042,35.13333333333333,7465.520411074486,68.47666666666667,98.5997695922852,99.1080093383789,98.8444976806641,3.12,1.8300885038411734,116.72828136666668,7.2,85.2667439778646,21.479229989868298,45.94466666666667,9.0,9.866666666666665,4.00333340962728
RUS,100.0,26.8,11.696992371940368,5.5507302266666665,3.3641146,39.41319529333333,77.90870666666667,,59.544333140055336,11453.287434895834,2.4344943801788497,37.63333333333333,5283.509602864583,74.11666666666666,99.7341079711914,99.7251586914063,99.7300567626953,2.76,3.78558337400209,162.06885806666665,5.966666666666666,104.13830566406267,15.7777777777778,25.464333333333332,9.0,25.76666666666667,4.616666634877523
RWA,39.2351214090983,4.1,0.10517399933048334,6.500981013333334,2.4889366633333334,26.034868239999998,76.11331666666666,9.85904026031494,82.52933502197264,808.0557562267546,6.344385193040776,,656.7852576127462,84.11333333333333,69.3945388793945,77.5587997436523,73.2155914306641,2.97,1.24367689584889,77.27906076000001,42.4,93.78233591715497,61.25,82.721,11.0,5.599999999999999,1.1023333470026635
SAS,93.60009885124187,,1.5196993381905468,3.075933852413897,0.9531390525062511,66.88664036270666,57.54206958333333,,47.36677297750873,1973.0477718511531,3.5074865039868564,,1169.8696524799334,53.798947305484496,64.33651333333333,80.63876,72.71559333333333,2.51,2.50049117471081,86.2832293754937,40.93333333333333,90.16258333333333,18.339749861292898,65.71461777455598,5.5,11.1993942928233,5.053274611406157
SAU,100.0,,15.345182739900267,5.708344136666667,3.9702587166666667,30.450785956666664,68.53037,,54.487332661946596,23709.987695824904,-0.6537007435001537,,8497.57287773628,57.800000000000004,,,,3.01,8.364856905415797,121.20093346666665,7.433333333333334,96.3878962198893,19.8675496688742,16.008666666666667,2.3333333333333335,6.033333333333334,5.79533322652181
SDN,53.45736058553063,,0.487426105787006,4.527889093333333,1.0169265433333334,70.60445658666667,45.89226,,40.43699900309247,761.388346354167,-4.6537020623972225,,915.5940144856773,49.73,56.0632286071777,65.4351501464844,60.6971817016602,2.43,1.6908998654427234,75.41066283333333,58.96666666666667,64.0855026245117,30.5164319248826,65.16199999999999,3.6666666666666665,3.8333333333333335,17.6293328603109
SEN,68.93333435058594,,0.6484848371182264,4.167598723333334,1.0097373566666665,56.601203919999996,57.64327333333333,,43.9753341674805,1443.2474389338468,2.28244118004799,38.1,948.157095370639,47.13666666666668,,,,2.25,1.5617328861413302,107.96446099999999,40.36666666666667,61.2020111083984,41.8181818181818,52.50066666666667,6.0,6.033333333333334,2.9983332951863635
SGP,100.0,,8.34012931660013,4.0827535,2.0469762466666666,49.8628095,86.07989333333335,74.16350809733073,68.40766652425133,66173.90573551114,1.0221451284937386,,22774.363097640336,77.28666666666668,96.06297556559247,98.88597869873047,97.43467458089192,4.0,2.8553981581515706,153.37212526666667,2.4333333333333336,98.6925760904948,23.0,0.0,8.0,10.6,3.280999898910524
SLB,68.5995330810547,,0.542112464530649,4.514454363333333,3.4160535333333333,3.4881490866666667,55.243046666666665,,85.28533426920573,2366.665285547473,-0.48446672051629003,,,85.33333333333333,,,,2.57,,72.19756259666666,20.233333333333334,86.05802154541011,3.4013605442176833,75.94366666666667,10.0,14.799999999999999,0.7446666558583573
SLE,23.833333969116236,,0.11426508616209467,8.596468926666667,1.07310706,57.961194353333326,47.38643333333332,,53.96833419799804,525.8337355701553,2.464219236009314,35.7,592.8161902040733,58.833333333333336,34.8520317077637,51.6468811035156,43.2063293457031,2.08,0.7406426493802766,85.11315230333334,113.33333333333333,82.7352956136068,12.3287671232877,57.659,5.0,6.666666666666667,4.652666727701823
